iter	Passed	Remaining
0	65	65583
1	66	33371
2	67	22568
3	68	17170
4	69	13918
5	70	11750
6	71	10213
7	72	9049
8	73	8113
9	74	7392
10	75	6802
11	76	6315
12	77	5901
13	78	5545
14	79	5235
15	80	4964
16	81	4728
17	82	4515
18	83	4324
19	84	4157
20	85	4003
21	86	3847
22	87	3712
23	88	3596
24	89	3489
25	90	3396
26	91	3305
27	92	3220
28	94	3151
29	95	3081
30	96	3012
31	97	2951
32	98	2893
33	99	2835
34	100	2780
35	101	2726
36	102	2674
37	103	2621
38	104	2577
39	105	2534
40	106	2492
41	107	2453
42	108	2417
43	109	2381
44	110	2346
45	111	2314
46	112	2283
47	113	2253
48	114	2229
49	115	2202
50	117	2178
51	117	2150
52	119	2130
53	120	2106
54	121	2086
55	122	2066
56	123	2043
57	124	2021
58	125	2001
59	126	1981
60	127	1963
61	128	1945
62	129	1927
63	130	1909
64	131	1894
65	132	1878
66	133	1862
67	134	1847
68	135	1828
69	136	1815
70	137	1802
71	138	1788
72	139	1774
73	140	1759
74	141	1746
75	142	1734
76	143	1721
77	144	1710
78	145	1698
79	146	1687
80	147	1676
81	148	1665
82	149	1654
83	150	1644
84	151	1635
85	153	1626
86	154	1619
87	155	1612
88	156	1602
89	157	1593
90	158	1587
91	159	1579
92	161	1570
93	162	1562
94	163	1554
95	163	1543
96	164	1535
97	166	1528
98	167	1521
99	168	1513
100	169	1506
101	170	1498
102	171	1490
103	172	1483
104	173	1476
105	174	1470
106	175	1464
107	176	1457
108	177	1451
109	178	1446
110	179	1440
111	180	1433
112	182	1429
113	183	1424
114	184	1418
115	185	1412
116	186	1406
117	187	1400
118	188	1394
119	189	1389
120	190	1384
121	191	1379
122	192	1374
123	193	1369
124	194	1364
125	195	1358
126	196	1353
127	197	1348
128	199	1343
129	200	1339
130	201	1335
131	202	1331
132	203	1328
133	204	1324
134	206	1320
135	207	1316
136	208	1313
137	209	1309
138	210	1305
139	211	1300
140	212	1295
141	214	1293
142	215	1289
143	216	1286
144	217	1281
145	218	1277
146	219	1273
147	220	1270
148	221	1267
149	222	1263
150	224	1259
151	225	1255
152	226	1251
153	227	1247
154	228	1243
155	229	1239
156	230	1235
157	231	1231
158	232	1228
159	233	1224
160	234	1221
161	235	1218
162	236	1214
163	237	1210
164	238	1207
165	239	1204
166	240	1200
167	241	1197
168	242	1194
169	243	1189
170	244	1185
171	245	1182
172	246	1178
173	247	1175
174	248	1172
175	249	1168
176	250	1164
177	251	1161
178	252	1158
179	253	1154
180	254	1150
181	255	1147
182	256	1144
183	257	1141
184	258	1138
185	259	1135
186	260	1132
187	261	1129
188	262	1126
189	263	1123
190	264	1119
191	265	1117
192	266	1114
193	267	1111
194	268	1108
195	269	1104
196	270	1101
197	271	1099
198	272	1096
199	273	1093
200	274	1091
201	275	1088
202	276	1086
203	277	1083
204	278	1081
205	280	1079
206	281	1076
207	282	1074
208	283	1072
209	284	1069
210	285	1067
211	286	1064
212	287	1061
213	288	1059
214	289	1056
215	290	1054
216	291	1052
217	292	1049
218	293	1047
219	294	1045
220	296	1043
221	297	1042
222	298	1039
223	299	1037
224	300	1035
225	301	1033
226	302	1030
227	303	1027
228	304	1025
229	305	1023
230	306	1020
231	307	1018
232	308	1015
233	309	1013
234	310	1011
235	311	1008
236	312	1006
237	313	1003
238	314	1001
239	315	999
240	316	996
241	317	994
242	318	992
243	319	990
244	320	988
245	321	986
246	322	984
247	323	982
248	325	980
249	326	978
250	327	976
251	328	975
252	329	973
253	330	970
254	331	968
255	332	966
256	333	964
257	334	962
258	335	960
259	336	958
260	337	956
261	338	954
262	339	951
263	340	949
264	341	947
265	342	945
266	343	943
267	344	941
268	345	939
269	346	937
270	347	935
271	348	932
272	349	929
273	350	928
274	351	926
275	352	924
276	353	922
277	354	921
278	355	919
279	356	917
280	357	915
281	358	913
282	359	911
283	360	909
284	361	907
285	362	905
286	363	903
287	364	902
288	365	900
289	366	898
290	367	896
291	368	894
292	369	892
293	370	890
294	371	888
295	373	887
296	374	885
297	375	883
298	376	882
299	377	880
300	378	879
301	379	878
302	381	876
303	382	875
304	383	873
305	384	872
306	385	871
307	411	924
308	414	926
309	415	924
310	416	923
311	417	921
312	418	918
313	419	917
314	421	915
315	421	912
316	422	911
317	423	909
318	425	907
319	426	905
320	427	903
321	428	901
322	429	900
323	430	898
324	431	896
325	432	894
326	433	892
327	434	890
328	435	889
329	437	887
330	438	885
331	439	883
332	440	881
333	441	879
334	442	878
335	443	876
336	444	874
337	445	872
338	446	871
339	447	869
340	448	867
341	449	865
342	451	864
343	452	863
344	453	861
345	454	859
346	455	857
347	456	855
348	457	853
349	458	852
350	459	850
351	461	848
352	462	846
353	462	844
354	463	842
355	464	841
356	466	839
357	467	837
358	468	835
359	469	834
360	470	832
361	471	830
362	472	829
363	473	827
364	474	826
365	475	824
366	477	822
367	478	821
368	479	819
369	480	817
370	481	816
371	482	814
372	483	812
373	484	810
374	485	809
375	486	807
376	487	805
377	488	803
378	489	802
379	490	800
380	491	798
381	492	797
382	493	795
383	494	793
384	495	792
385	496	790
386	497	788
387	498	787
388	499	785
389	500	783
390	502	781
391	503	780
392	504	778
393	505	776
394	506	775
395	507	773
396	508	772
397	509	770
398	510	768
399	511	767
400	512	765
401	513	764
402	514	762
403	515	760
404	516	759
405	517	757
406	518	755
407	519	754
408	520	752
409	521	750
410	522	749
411	523	747
412	524	746
413	525	744
414	526	742
415	527	741
416	529	739
417	530	738
418	531	736
419	532	735
420	533	733
421	534	732
422	535	730
423	536	729
424	537	727
425	538	725
426	539	724
427	540	722
428	541	721
429	542	719
430	543	718
431	544	716
432	546	714
433	547	713
434	548	712
435	549	710
436	550	709
437	551	707
438	552	706
439	553	704
440	554	702
441	555	701
442	556	699
443	557	698
444	558	696
445	559	695
446	560	693
447	561	692
448	562	690
449	563	689
450	564	687
451	566	686
452	567	684
453	568	683
454	569	681
455	570	680
456	571	679
457	572	677
458	573	676
459	574	674
460	575	673
461	576	671
462	578	670
463	579	668
464	580	667
465	581	665
466	582	664
467	583	662
468	584	661
469	585	659
470	586	658
471	587	657
472	588	655
473	589	654
474	590	652
475	591	651
476	593	650
477	594	648
478	595	647
479	596	646
480	597	644
481	598	643
482	599	641
483	600	640
484	601	638
485	602	637
486	603	635
487	604	634
488	605	632
489	606	631
490	607	630
491	608	628
492	609	627
493	610	625
494	611	624
495	612	622
496	613	621
497	614	619
498	615	618
499	617	617
500	618	615
501	619	614
502	620	612
503	621	611
504	622	609
505	623	608
506	624	606
507	625	605
508	626	603
509	627	602
510	628	601
511	629	599
512	630	598
513	631	597
514	632	595
515	633	594
516	634	593
517	636	591
518	637	590
519	638	589
520	639	587
521	640	586
522	641	584
523	642	583
524	643	581
525	644	580
526	645	579
527	646	577
528	647	576
529	648	575
530	649	573
531	650	572
532	651	571
533	652	569
534	653	568
535	655	567
536	656	565
537	657	564
538	658	562
539	659	561
540	660	560
541	661	558
542	662	557
543	663	555
544	664	554
545	665	553
546	666	551
547	667	550
548	668	549
549	669	547
550	670	546
551	671	545
552	672	543
553	673	542
554	674	541
555	675	539
556	676	538
557	678	537
558	679	535
559	679	534
560	681	532
561	682	531
562	683	530
563	683	528
564	684	527
565	685	525
566	686	524
567	687	523
568	688	521
569	690	520
570	691	519
571	692	517
572	693	516
573	694	515
574	695	514
575	696	512
576	697	511
577	698	510
578	699	508
579	700	507
580	701	506
581	702	504
582	704	503
583	705	502
584	706	501
585	707	499
586	708	498
587	709	497
588	710	495
589	711	494
590	712	493
591	714	492
592	714	490
593	716	489
594	717	488
595	718	486
596	719	485
597	720	484
598	720	482
599	721	481
600	723	480
601	724	478
602	725	477
603	726	476
604	727	474
605	728	473
606	729	472
607	730	470
608	731	469
609	732	468
610	733	466
611	734	465
612	735	464
613	736	462
614	737	461
615	738	460
616	739	459
617	740	457
618	741	456
619	742	455
620	743	453
621	744	452
622	745	451
623	746	449
624	747	448
625	748	447
626	749	445
627	750	444
628	751	443
629	752	441
630	753	440
631	754	439
632	755	438
633	756	436
634	758	435
635	759	434
636	760	433
637	761	432
638	762	430
639	763	429
640	764	428
641	765	426
642	766	425
643	767	424
644	769	423
645	770	422
646	771	420
647	772	419
648	773	418
649	774	417
650	775	415
651	777	414
652	778	413
653	779	412
654	780	410
655	781	409
656	782	408
657	783	407
658	784	405
659	785	404
660	786	403
661	787	402
662	789	401
663	790	399
664	791	398
665	792	397
666	793	396
667	794	394
668	795	393
669	796	392
670	798	391
671	799	390
672	800	388
673	801	387
674	802	386
675	803	385
676	804	383
677	805	382
678	806	381
679	808	380
680	809	378
681	810	377
682	811	376
683	812	375
684	813	374
685	814	372
686	815	371
687	816	370
688	817	369
689	818	367
690	819	366
691	820	365
692	821	364
693	822	362
694	824	361
695	825	360
696	826	359
697	827	357
698	828	356
699	829	355
700	830	354
701	831	352
702	832	351
703	833	350
704	834	349
705	836	348
706	837	346
707	838	345
708	839	344
709	840	343
710	841	342
711	842	340
712	843	339
713	844	338
714	845	337
715	847	335
716	848	334
717	849	333
718	850	332
719	851	331
720	852	329
721	853	328
722	854	327
723	855	326
724	857	325
725	858	323
726	859	322
727	860	321
728	861	320
729	862	318
730	863	317
731	864	316
732	865	315
733	866	314
734	867	312
735	868	311
736	869	310
737	871	309
738	872	308
739	873	306
740	874	305
741	875	304
742	876	303
743	877	301
744	878	300
745	879	299
746	880	298
747	882	297
748	883	295
749	884	294
750	885	293
751	886	292
752	887	291
753	888	289
754	889	288
755	890	287
756	891	286
757	892	284
758	893	283
759	894	282
760	895	281
761	897	280
762	898	278
763	899	277
764	900	276
765	901	275
766	902	274
767	903	272
768	904	271
769	905	270
770	906	269
771	907	268
772	908	266
773	909	265
774	910	264
775	911	263
776	912	262
777	913	260
778	915	259
779	916	258
780	917	257
781	918	256
782	919	254
783	920	253
784	921	252
785	922	251
786	923	250
787	924	248
788	925	247
789	927	246
790	928	245
791	929	244
792	930	242
793	931	241
794	932	240
795	933	239
796	934	238
797	935	236
798	936	235
799	937	234
800	938	233
801	939	231
802	940	230
803	941	229
804	943	228
805	944	227
806	945	226
807	946	224
808	947	223
809	948	222
810	948	221
811	949	219
812	950	218
813	952	217
814	953	216
815	954	215
816	955	213
817	956	212
818	957	211
819	958	210
820	959	209
821	960	208
822	961	206
823	962	205
824	963	204
825	965	203
826	966	202
827	967	200
828	968	199
829	969	198
830	970	197
831	971	196
832	972	194
833	973	193
834	974	192
835	975	191
836	977	190
837	978	189
838	979	187
839	980	186
840	981	185
841	982	184
842	983	183
843	984	181
844	985	180
845	986	179
846	987	178
847	988	177
848	989	175
849	990	174
850	991	173
851	992	172
852	993	171
853	994	170
854	995	168
855	996	167
856	997	166
857	998	165
858	999	164
859	1000	162
860	1001	161
861	1002	160
862	1003	159
863	1004	158
864	1005	156
865	1006	155
866	1007	154
867	1008	153
868	1009	152
869	1010	151
870	1011	149
871	1012	148
872	1014	147
873	1015	146
874	1016	145
875	1017	144
876	1018	142
877	1019	141
878	1020	140
879	1021	139
880	1022	138
881	1023	136
882	1024	135
883	1026	134
884	1027	133
885	1028	132
886	1029	131
887	1030	129
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1038	120
896	1040	119
897	1041	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1046	112
903	1047	111
904	1048	110
905	1049	108
906	1050	107
907	1051	106
908	1052	105
909	1053	104
910	1054	103
911	1055	101
912	1056	100
913	1057	99
914	1058	98
915	1059	97
916	1060	96
917	1062	94
918	1063	93
919	1064	92
920	1065	91
921	1066	90
922	1067	89
923	1068	87
924	1069	86
925	1070	85
926	1071	84
927	1072	83
928	1073	82
929	1075	80
930	1076	79
931	1077	78
932	1078	77
933	1079	76
934	1080	75
935	1081	73
936	1082	72
937	1083	71
938	1084	70
939	1085	69
940	1086	68
941	1087	66
942	1088	65
943	1089	64
944	1090	63
945	1091	62
946	1092	61
947	1093	59
948	1094	58
949	1095	57
950	1096	56
951	1097	55
952	1099	54
953	1100	53
954	1101	51
955	1102	50
956	1103	49
957	1104	48
958	1105	47
959	1106	46
960	1107	44
961	1108	43
962	1109	42
963	1110	41
964	1111	40
965	1112	39
966	1113	37
967	1114	36
968	1115	35
969	1116	34
970	1117	33
971	1118	32
972	1119	31
973	1120	29
974	1121	28
975	1123	27
976	1124	26
977	1125	25
978	1126	24
979	1128	23
980	1129	21
981	1131	20
982	1132	19
983	1134	18
984	1135	17
985	1136	16
986	1137	14
987	1139	13
988	1140	12
989	1142	11
990	1143	10
991	1144	9
992	1145	8
993	1146	6
994	1147	5
995	1149	4
996	1150	3
997	1151	2
998	1153	1
999	1154	0
